 DBH    D16    HT    VOL         
10.20   9.3  89.00  25.93          
13.72  12.1  90.07  45.87          
15.43  13.3  95.08  56.20          
14.37  13.4  98.03  58.60          
15.00  14.2  99.00  63.36          
15.02  12.8  91.05  46.35          
15.12  14.0 105.60  68.99          
15.24  13.5 100.80  62.91          
15.24  14.0  94.00  58.13          
15.28  13.8  93.09  59.79          
13.78  13.6  89.00  56.20
15.67  14.0 102.00  66.16
15.67  13.7  99.00  62.18
15.98  13.9  89.02  57.01
16.50  14.9  95.09  65.62
16.87  14.9  95.02  65.03
17.26  14.3  91.02  66.74
17.28  14.3  98.06  73.38
17.87  16.9  96.01  82.87
19.13  17.3 101.00  95.71
